State - Reg,State Abv,State Name,Reg Classification,Regulation Archived,Product Types regulated,Product Use Method,N-P-K Trigger,Claim Triggers,Package Size Trigger,Microbes Included,Tonnage Reporting Req?,Regulation,Frequency,Renewal Month,Initial Cost/Unit,Renewal Cost/Unit,TON Cost/Unit,Fee Unit,Min Ton Fee,Late Fee,State Contact (SC),SC Email Address,Office Mgr (Team lead),Office Mgr Email Address,Office Phone,Office Email,Check Payee,New Reg Method,New Registration Form or Portal,New Reg Sub Docs,New Reg Turnaround,Minimum Days Before Follow-up,New Reg Difficulty,Efficacy Requirements,In-state trials,Labs Required For Reg?,Test Frequency,Heavy Metals Test,Pathogen Analysis,Renewal Method,Renewal Sub Docs,Label Update Submission Method,Renewal Form or Portal,Tonnage Submission Method,Tonnage Form or Portal,Regulator Web Address,New Reg Trigger,Adjuvant Req,Discontinuance Period,Notes,Address Line 1,Address Line 2,Address Line 3,Mailing City,Mailing State,Mailing Zip,Delta Classification,Registration Tracking copy,Client Logins,Registration Tracking copy copy,Labeling Requirements,New Registration Notes,Client List,Tonnage Month,Renewal Season
FL-Specialty Fertilizer 49# or less,FL,Florida,Specialty Fertilizer 49# or less,,Fertilizer,N/A,> 0,Home/Garden Use,≤ 49lbs,No,Yes,Registration,Annual,07,$200.00,$200.00,,$/Registration,,,S​teve Harley,Steve.Harley@FreshFromFlorida.com,,,(850) 617-7860,AESCares@FreshFromFlorida.com,,Online Portal,https://lims.flaes.org/HomeNew.aspx?ReturnUrl=/,,1 Month,30,Easy,,,,,,,Online Portal,,Email,https://lims.flaes.org/HomeNew.aspx?ReturnUrl=/,,https://lims.flaes.org/HomeNew.aspx?ReturnUrl=/,https://www.fdacs.gov/Agriculture-Industry/Fertilizer-Licensing-and-Tonnage-Reporting,"Name Change,Guarantee Change,Registrant Change",,,Only for Home and Garden use.,Florida Dept of Agriculture and Consumer Services,Fertilizer Section,PO Box 6710,Tallahassee,FL,32314,Fertilizer,"5411,5337,5480,5903,10501,10634,11108,11211,11314,11417,13085,13690","VER-FL-ALL NON-PEST-ALL,IDA-FL-ALL NON-PEST-ALL,SYM-FL-ALL NON-PEST-ALL,AGR-FL-ALL NON-PEST-ALL,EEA-FL-ALL NON-PEST-ALL,COR-FL-ALL NON-PEST-ALL,MAN-FL-ALL NON-PEST-ALL,ARB-FL-ALL NON-PEST-ALL,BOR-FL-ALL NON-PEST-ALL,BIN-FL-ALL NON-PEST-ALL,GWB-FL-ALL NON-PEST-ALL,OMY-FL-ALL NON-PEST-ALL,AAS-FL-ALL NON-PEST-ALL,ABM-FL-ALL NON-PEST-ALL,IBA-FL-ALL NON-PEST-ALL","5337,5411,5480,5903,10501,10634,13369,11108,11211,13085,11314,11417",https://ccmedia.fdacs.gov/content/download/3502/file/Fertilizer_Registration_and_Labeling_Guidelines.pdf,,,,Mid Year
FL-Specialty Fertilizer Greater than 49#,FL,Florida,Specialty Fertilizer Greater than 49#,,Fertilizer,N/A,> 0,Home/Garden Use,> 49 lbs,No,No,Regulated with License,Annual,07,$0.00,$0.00,,,,,S​teve Harley,Steve.Harley@FreshFromFlorida.com,,,(850) 617-7860,AESCares@FreshFromFlorida.com,,Online Portal,https://lims.flaes.org/HomeNew.aspx?ReturnUrl=/,Label,,30,,,,,,,,Online Portal,,Email,https://lims.flaes.org/HomeNew.aspx?ReturnUrl=/,,https://lims.flaes.org/HomeNew.aspx?ReturnUrl=/,https://www.fdacs.gov/Agriculture-Industry/Fertilizer-Licensing-and-Tonnage-Reporting,,,,,Florida Dept of Agriculture and Consumer Services,Fertilizer Section,PO Box 6710,Tallahassee,FL,32314,Fertilizer,"330,11109,11212,11315,11418,13086,13369,13698",,"330,11109,11212,13086,11315,11418",https://ccmedia.fdacs.gov/content/download/3502/file/Fertilizer_Registration_and_Labeling_Guidelines.pdf,,,,Mid Year
GA-Beneficial Substance,GA,Georgia,Beneficial Substance,checked,"Biological Inoculant,Amendment/Conditioner,Surfactant/Wetting Agent",,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,https://agr.georgia.gov/licensing,,,,,,,,,,,,,,,,,,,
GA-Fertilizer,GA,Georgia,Fertilizer,,Fertilizer,N/A,> 0,,,No,Yes,Label Submission,Annual,06,$0.00,$0.00,,,,,Melissa Smith,Melissa.Smith@agr.georgia.gov,,,(404) 656-3637,,Georgia Department of Agriculture,Online Portal,https://agr.georgia.gov/fertilizer-licenses-and-product-registrations,Label,2 Weeks,30,Easy,,,,,,,Online Portal,,Online Portal,https://agr.georgia.gov/fertilizer-licenses-and-product-registrations,,,https://agr.georgia.gov/licensing,,,,"No fee for products distributed in over ten pounds (10 lbs)

 send label revisions to melissa.smith@agr.georgia.gov",Georgia Department of Agriculture,"Seed, Fertilizer and Feed",19 MLK Jr. Dr. SW Room 604,Atlanta,GA,30334,Fertilizer,"1479,2088,2976,5814,5906,5933,5947,5961,5975,6748,6749,6750,7966,8385,8386,8608,8714,8740,9371,9372,9373,9374,9375,9948,10854,10897,11110,11213,11316,11419,12761,13087,13457,13473","VER-GA-Fertilizer-Product Registration,SYM-GA-Fertilizer-Product Registration,BOR-GA-Fertilizer-Product Registration,ARB-GA-Fertilizer-Product Registration,AAS-GA-Fertilizer-Product Registration","1479,2088,2976,5814,5906,5933,5947,5961,5975,6748,6749,6750,7966,8385,8386,8608,8714,8740,9371,9372,9373,9374,9375,9948,10854,10897,11110,11213,11316,11419,12761,13087",,,,,Mid Year
GA-Fertilizer Inspection fees,GA,Georgia,Fertilizer Inspection fees,,Fertilizer,N/A,,,,,Yes,Tonnage/Mill,Quarterly,,,,$0.6000,$/Ton Sold,$0.00,$10.00,Melissa Smith,Melissa.Smith@agr.georgia.gov,,,(404) 656-3637,,Georgia Department of Agriculture,Online Portal,,,,,,,,,,,,,,,,Online Portal,https://www.kellysolutions.com/ga/fert/tonnage/,https://agr.georgia.gov/licensing,,,,,,,,,,,Tonnage,"660,708,1779,1389,2089,6663,6914,7110,8835,11019","BOR-GA-Fertilizer-Tonnage Report,SYM-GA-Fertilizer-Tonnage Report,VER-GA-Fertilizer-Tonnage Report,OMY-GA-Fertilizer-Tonnage Report,ARB-GA-Fertilizer-Tonnage Report,AAS-GA-Fertilizer-Tonnage Report,ABM-GA-Fertilizer-Tonnage Report","660,708,1389,1779,2089,6663,6914,7110,8835,11019",,,,"01,04,07,10",
GA-Fertilizer License,GA,Georgia,Fertilizer License,,Fertilizer,N/A,> 0,,,No,No,License,Annual,06,$100.00,$100.00,$0.0000,$/License,,,Melissa Smith,Melissa.Smith@agr.georgia.gov,,,(404) 656-3637,,Georgia Department of Agriculture,Online Portal,https://agr.georgia.gov/fertilizer-licenses-and-product-registrations,,2 Weeks,30,,,,,,,,Online Portal,,,https://agr.georgia.gov/fertilizer-licenses-and-product-registrations,,,https://agr.georgia.gov/licensing,,,,,Georgia Department of Agriculture,"Seed, Fertilizer and Feed",19 MLK Jr. Dr. SW Room 604,Atlanta,GA,30334,Fertilizer,"332,464,863,1195,1478,2010,2090,3537,5597,5989,6751,7854,8099,8609,9215,9840,13367,13426,13506","ARB-GA-Fertilizer-Company License,BOR-GA-Fertilizer-Company License,VER-GA-Fertilizer-Company License,OMY-GA-Fertilizer-Company License,SYM-GA-Fertilizer-Company License,ABM-GA-Fertilizer-Company License","332,464,863,1195,1478,2010,2090,3537,5597,5989,6751,7854,8099,8609,9215,9840,13426",,,,,Mid Year
GA-Lime Annual Tonnage,GA,Georgia,Lime Annual Tonnage,,Liming Material,N/A,,,,No,Yes,Tonnage/Mill,Annual,,,,$0.0000,$/Ton Sold,$0.00,,Melissa Smith,melissa.smith@agr.georgia.gov,,,(404) 656-3637,,Georgia Department of Agriculture,,,,,,,,,,,,,,,,,Paper/Mail,https://www.kellysolutions.com/ga/lime/tonnage/,https://agr.georgia.gov/licensing,,,,,,,,,,,Tonnage,8999,OMY-GA-Lime-Tonnage Report,8999,,,,07,
"GA-Lime Company License < 10,000 Tons",GA,Georgia,"Lime Company License < 10,000 Tons",,Liming Material,N/A,,,,No,Yes,License,Annual,06,$70.00,$70.00,,$/Registration,,,Melissa Smith,melissa.smith@agr.georgia.gov,,,(404) 656-3637,,Georgia Department of Agriculture,Online Portal,https://agr.georgia.gov/lime-licenses-and-product-registrations,,,30,,,,,,,,Online Portal,,,https://agr.georgia.gov/lime-licenses-and-product-registrations,,,https://agr.georgia.gov/licensing,,,,,,,,,,,,9841,,9841,,,,,Mid Year
"GA-Lime Company License >= 10,000 Tons",GA,Georgia,"Lime Company License >= 10,000 Tons",,Liming Material,N/A,,,,No,Yes,License,Annual,06,$70.00,$100.00,,$/License,,,Melissa Smith,melissa.smith@agr.georgia.gov,,,(404) 656-3637,,Georgia Department of Agriculture,Online Portal,https://agr.georgia.gov/lime-licenses-and-product-registrations,,,30,,,,,,,,,,,https://agr.georgia.gov/lime-licenses-and-product-registrations,,,https://agr.georgia.gov/licensing,,,,,,,,,,,,,OMY-GA-Lime-Company License,,,,,,Mid Year
GA-Liming Material,GA,Georgia,Liming Material,,Liming Material,N/A,,,,No,Yes,Registration,Annual,06,$70.00,$70.00,,$/Ton Sold,,,Melissa Smith,melissa.smith@agr.georgia.gov,,,(404) 656-3637,,Georgia Department of Agriculture,Online Portal,https://agr.georgia.gov/lime-licenses-and-product-registrations,,,30,,,,,,,,Online Portal,,,https://agr.georgia.gov/lime-licenses-and-product-registrations,,,https://agr.georgia.gov/licensing,,,,,,,,,,,,"9356,9357,9358,9359,9360,9361,9362,9363,9364,9365,9366,9367,9368,9369,9370,13261,13262,13263,13264,13265,13266",,"9356,9357,9358,9359,9360,9361,9362,9363,9364,9365,9366,9367,9368,9369,9370,13261,13262,13263,13264,13265,13266",,,,,Mid Year
GA-SA Semiannual reports,GA,Georgia,SA Semiannual reports,,Amendment/Conditioner,N/A,,,,,Yes,Tonnage/Mill,Semi-Annual,,,,$0.0000,$/Ton Sold,$0.00,,Melissa Smith,Melissa.Smith@agr.georgia.gov,,,(404) 656-3637,,Georgia Department of Agriculture,Online Portal,,,,,,,,,,,,,,,,Online Portal,https://www.kellysolutions.com/ga/soil/tonnage/login.asp,https://agr.georgia.gov/licensing,,,,,,,,,,,Tonnage,"1239,2055,5317,5695,6664,6915,8836",VER-GA-Soil/Plant Amendment-Tonnage Report,"1239,2055,5317,5695,6664,6915,8836",,,,"01,07",
GA-Soil Amendment,GA,Georgia,Soil Amendment,,Amendment/Conditioner,"Soil,Foliar",0,Soil-applied,,No,Yes,Registration,Annual,12,$55.00,$55.00,,$/Registration,,,Melissa Smith,Melissa.Smith@agr.georgia.gov,,,(404) 656-3637,,Georgia Department of Agriculture,Online Portal,https://agr.georgia.gov/soil-amendment-product-registrations,Label,2 Weeks,30,Easy,,,,,,,Online Portal,,Online Portal,https://agr.georgia.gov/soil-amendment-product-registrations,,,https://agr.georgia.gov/licensing,"Name Change,Guarantee Change,Registrant Change",,None,Microbials and surfactants DO NOT require registration,Georgia Department of Agriculture,"Seed, Fertilizer and Feed",19 MLK Jr. Dr. SW Room 604,Atlanta,GA,30334,Biostimulant,"5,110,334,203,236,271,300,864,935,1238,1352,1382,1795,1958,2091,2536,2622,3643,3961,4550,5182,5237,5552,5707,6033,6085,6129,6383,6450,6475,6492,6516,6536,6579,6612,7689,7557,7623,7226,7359,7293,7425,7491,7160,7825,8175,8189,8253,8317,8413,8443,8879,9253,9855,9875,10026,10093,10172,10251,10574,10795,10964,11035,11516,11594,11749,11827,11905,11983,12061,12139,12217,12295,12373,12451,12529,12607,12685,12832,13182,13762,13763,13764,13765,13766,13767,13768,13769,13770,14051","VER-GA-Soil/Plant Amendment-Product Registration,BIN-GA-Soil/Plant Amendment-Product Registration,AAS-GA-Soil/Plant Amendment-Product Registration","5,110,203,236,271,300,334,864,935,1238,1352,1382,1795,1958,2091,2536,2622,3643,3961,4550,5182,5237,5552,5707,6033,6085,6129,6383,6450,6475,6492,6516,6536,6579,6612,7160,7226,7293,7359,7425,7491,7557,7623,7689,7825,8175,8189,8253,8317,8413,8443,8879,9253,9855,9875,10026,10093,10172,10251,10574,10795,10964,11035,11516,11594,11749,11827,11905,11983,12061,12139,12217,12295,12373,12451,12529,12607,12685,12832,13182",,,,,End of Year
GA-Specialty Fertilizer >10 lbs ,GA,Georgia,Specialty Fertilizer >10 lbs ,,Fertilizer,N/A,> 0,Non-Ag Uses Only,> 10 lbs,No,No,Registration,Annual,06,$0.00,$0.00,,$/Registration,,,Melissa Smith,Melissa.Smith@agr.georgia.gov,,,(404) 656-3637,,Georgia Department of Agriculture,Online Portal,https://agr.georgia.gov/fertilizer-licenses-and-product-registrations,,2 Weeks,30,Easy,,,,,,,Online Portal,,Online Portal,https://agr.georgia.gov/fertilizer-licenses-and-product-registrations,,,https://agr.georgia.gov/licensing,"Name Change,Guarantee Change,Registrant Change",,,"Talked to the Geogia Dept of Ag. Any Fertilizer for non ag use requires registration under the Specialty Fertilizer Registraiton. However, there is only a fee associated with the registration if the fertilizer is 10 lbs or less... This includes ag fertilizers 10 lbs or less.",Georgia Department of Agriculture,"Seed, Fertilizer and Feed",19 MLK Jr. Dr. SW Room 604,Atlanta,GA,30334,Fertilizer,"333,1219,1796,1798,3035,3101,3164,3227,3290,3415,3478,3572,3700,3764,3828,3892,4014,4080,4144,4208,4285,4349,4420,4484,4603,4667,4731,4795,4860,4924,4988,5116,9033,9099,9165,11111,11214,11317,11420,13088,13368","VER-GA-Fertilizer-Product Registration,SYM-GA-Fertilizer-Product Registration,BOR-GA-Fertilizer-Product Registration,ARB-GA-Fertilizer-Product Registration","333,1219,1796,1798,3035,3101,3164,3227,3290,3415,3478,3572,3700,3764,3828,3892,4014,4080,4144,4208,4285,4349,4420,4484,4603,4667,4731,4795,4860,4924,4988,5116,9033,9099,9165,11111,11214,11317,11420,13088",,,,,Mid Year
GA-Specialty Fertilizer ≤10 lbs ,GA,Georgia,Specialty Fertilizer ≤10 lbs ,,Fertilizer,N/A,> 0,Non-Ag Uses Only,≤ 10 lbs,No,No,Registration,Annual,06,$60.00,$60.00,,$/Registration,,,Melissa Smith,Melissa.Smith@agr.georgia.gov,,,(404) 656-3637,,Georgia Department of Agriculture,Online Portal,https://agr.georgia.gov/fertilizer-licenses-and-product-registrations,,2 Weeks,30,Easy,,,,,,,Online Portal,,Online Portal,https://agr.georgia.gov/fertilizer-licenses-and-product-registrations,,,https://agr.georgia.gov/licensing,"Name Change,Guarantee Change,Registrant Change",,,"Talked to the Geogia Dept of Ag. Any Fertilizer for non ag use requires registration under the Specialty Fertilizer Registraiton. However, there is only a fee associated with the registration if the fertilizer is 10 lbs or less... This includes ag fertilizers 10 lbs or less.",Georgia Department of Agriculture,"Seed, Fertilizer and Feed",19 MLK Jr. Dr. SW Room 604,Atlanta,GA,30334,Fertilizer,"739,1181,1797,1799,3036,3102,3165,3228,3291,3416,3479,3573,3701,3765,3829,3893,4015,4081,4145,4209,4286,4350,4421,4485,4604,4668,4732,4796,4861,4925,4989,5117,5412,5338,5481,9034,9100,9166,10502,10635,11112,11215,11318,11421,13089,13691","VER-GA-Fertilizer-Product Registration,SYM-GA-Fertilizer-Product Registration,BOR-GA-Fertilizer-Product Registration,ARB-GA-Fertilizer-Product Registration","739,1181,1797,1799,3036,3102,3165,3228,3291,3416,3479,3573,3701,3765,3829,3893,4015,4081,4145,4209,4286,4350,4421,4485,4604,4668,4732,4796,4861,4925,4989,5117,5338,5412,5481,9034,9100,9166,10502,10635,11112,11215,11318,11421,13089,13368",,,,,Mid Year
HI-Beneficial Substance,HI,Hawaii,Beneficial Substance,checked,"Biological Inoculant,Amendment/Conditioner,Surfactant/Wetting Agent",,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI-Fertilizer,HI,Hawaii,Fertilizer,,Fertilizer,,,,,,,No Regulation,,,,,,,,,,,,,,,HI Dept of Ag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3025,3037,3103,3166,3229,3292,3417,3480,3574,3702,3766,3830,3894,4016,4082,4146,4210,4287,4351,4422,4486,4605,4669,4733,4797,4862,4926,4990,5118,5339,5413,5482,7954,9949,10503,10636,11113,11216,11319,11422,12762,13090,13692",,"3025,3037,3103,3166,3229,3292,3417,3480,3574,3702,3766,3830,3894,4016,4082,4146,4210,4287,4351,4422,4486,4605,4669,4733,4797,4862,4926,4990,5118,5339,5413,5482,7954,9949,10503,10636,12762,11113,11216,13090,11319,11422",,,,,
HI-Microbial Product,HI,Hawaii,Microbial Product,,Biological Inoculant,"Foliar,Seed,Soil",0,,,Yes,No,Registration,Annual,12-mo from approval,$150.00,$150.00,,$/Registration,,,,,,,(808) 973-9560,,HI Dept of Ag,Paper/Mail,https://hdoa.hawaii.gov/pi/pq/import-program/microorganisms-guidelines/,Label,3 Months,30,Challenging,,,,,,,Paper/Mail,Current Labels (every year),Paper/Mail,https://hdoa.hawaii.gov/pi/pq/import-program/microorganisms-guidelines/,,https://hdoa.hawaii.gov/pi/pq/import-program/microorganisms-guidelines/,https://hdoa.hawaii.gov/pi/pq/import-program/microorganisms-guidelines/,"Name Change,Guarantee Change,Registrant Change",,,,State of Hawaii / Dept of Ag,Plant Quarantine Branch,1849 Auiki Street,Honolulu,HI,96819,Biostimulant,"1241,1310,1311,1312,1314,1320,1321,1445,1878,1879,1959,2092,2537,2623,2937,5708,6034,6086,6130,6384,6451,6476,6493,6517,6537,6580,6613,7027,7079,7690,7558,7624,7227,7360,7294,7426,7492,7161,7790,7884,8126,8206,8270,8334,8444,9254,9876,10027,10094,10173,10252,10335,10575,10796,10965,11036,11517,11595,11750,11828,11906,11984,12062,12140,12218,12296,12374,12452,12530,12608,12686,12833,13183,13293,13693,13875,13876,13877,13878,14024,14104",,"1241,1310,1311,1312,1314,1320,1321,1445,1878,1879,1959,2092,2537,2623,2937,5708,6034,6086,6130,6384,6451,6476,6493,6517,6537,6580,6613,7027,7079,7161,7227,7294,7360,7426,7492,7558,7624,7690,7790,7884,8126,8206,8270,8334,8444,9254,9876,10027,10094,10173,10252,10335,10575,10796,10965,11036,12833,13293,11517,11595,11750,11906,11828,11984,13183,12062,12140,12218,12296,12374,12686,12452,12530,12608",https://hdoa.hawaii.gov/pi/pq/import-program/microorganisms-guidelines/,,,,
HI-Soil Amendment,HI,Hawaii,Soil Amendment,,"Amendment/Conditioner,Surfactant/Wetting Agent",,,,,,,No Regulation,,,,,,,,,,,,,,,HI Dept of Ag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3644,3962,4551,5183,5238,5553,9877,10095,11518,11596,11751,11829,11907,11985,12063,12141,12219,12297,12375,12453,12531,12609,12687,13184",,"3644,3962,4551,5183,5238,5553,9877,10095,11518,11596,11751,11907,11829,11985,13184,12063,12141,12219,12297,12375,12687,12453,12531,12609",,,,,
IA-Beneficial Substance,IA,Iowa,Beneficial Substance,checked,"Biological Inoculant,Amendment/Conditioner,Surfactant/Wetting Agent",,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA-Fertilizer - > 25lbs,IA,Iowa,Fertilizer - > 25lbs,,Fertilizer,"Soil,Seed,Foliar",> 0,,> 25 lbs,No,Yes,Registration,Biennial,06,$0.00,$0.00,,$/Registration,,$50.00,April Good,,,,(515) 281-8597,FeedandFertilizer@Iowaagriculture.gov,IDALS,Online Portal,https://iowadeptag.my.site.com/s/login/?ec=302&startURL=/s/,Label,2 Months,30,Challenging,,,,,,,Online Portal,Updated labels,Online Portal,https://iowadeptag.my.site.com/s/login/?ec=302&startURL=/s/,,https://iowadeptag.my.site.com/s/login/?ec=302&startURL=/s/,https://iowaagriculture.gov/commercial-feed-and-fertilizer-bureau,"Name Change,Guarantee Change,Registrant Change",,,Any product registered that is over 25 lbs is a permanent registration and cost $0,Feed and Fertilizer Bureau (IA Dept of Ag),Wallace Building,502 E 9th Street,Des Moines,IA,50319,Fertilizer,"343,1383,1493,1886,1887,2093,2094,2982,5345,5419,5488,5782,119,5815,6625,7143,7144,7146,8675,8717,8741,9014,9080,9146,9414,9415,9416,9417,9950,10504,10637,11114,11217,11320,11423,12763,13091,4538,13702",,"119,343,1383,1493,1886,1887,2093,2094,2982,5345,5419,5488,5782,5815,6625,7143,7144,7146,8675,8717,8741,9014,9080,9146,9414,9415,9416,9417,9950,10504,10637,12763,11114,11217,13091,11320,11423",,,,,Mid Year
IA-Fertilizer - ≤ 25lbs,IA,Iowa,Fertilizer - ≤ 25lbs,,Fertilizer,"Soil,Seed,Foliar",> 0,,≤ 25 lbs,No,No,Registration,Annual,06,$100.00,$100.00,,$/Registration,,,April Good,,,,(515) 281-8597,FeedandFertilizer@Iowaagriculture.gov,IDALS,Online Portal,https://iowadeptag.my.site.com/s/login/?ec=302&startURL=/s/,Label,2 Months,30,Challenging,,,,,,,Online Portal,Updated labels,Online Portal,https://iowadeptag.my.site.com/s/login/?ec=302&startURL=/s/,,https://iowadeptag.my.site.com/s/login/?ec=302&startURL=/s/,https://iowaagriculture.gov/commercial-feed-and-fertilizer-bureau,"Name Change,Guarantee Change,Registrant Change",,,,Feed and Fertilizer Bureau (IA Dept of Ag),Wallace Building,502 E 9th Street,Des Moines,IA,50319,Fertilizer,"732,741,1494,1888,1944,2095,2983,5346,5420,5489,5791,5816,6009,6769,7145,7147,9015,9081,9147,9951,10505,10638,10860,11115,11218,11321,11424,12764,13092,13459,13477,13703",,"732,741,1494,1888,1944,2095,2983,5346,5420,5489,5791,5816,6009,6769,7145,7147,9015,9081,9147,9951,10505,10638,10860,12764,11115,11218,13092,11321,11424",,,,,Mid Year
IA-Fertilizer Manufacturer/Dealers License,IA,Iowa,Fertilizer Manufacturer/Dealers License,,Fertilizer,N/A,> 0,,,No,No,License,Biennial,06,$20.00,$20.00,,$/License,,,April Good,,,,(515) 281-8597,FeedandFertilizer@Iowaagriculture.gov,IDALS,Online Portal,https://iowadeptag.my.site.com/s/login/?ec=302&startURL=/s/,,2 Months,30,,,,,,,,Online Portal,,,https://iowadeptag.my.site.com/s/login/?ec=302&startURL=/s/,,https://iowadeptag.my.site.com/s/login/?ec=302&startURL=/s/,https://iowaagriculture.gov/commercial-feed-and-fertilizer-bureau,,,,,Feed and Fertilizer Bureau (IA Dept of Ag),Wallace Building,502 E 9th Street,Des Moines,IA,50319,Fertilizer,"421,1018,1049,1358,1488,2011,2035,2039,2096,2650,3539,5598,6008,6768,7868,8113,8610,9216,10931,13267,13427,13508","SYM-IA-ALL NON-PEST-ALL,FYT-IA-ALL NON-PEST-ALL,MBF-IA-ALL NON-PEST-ALL,GWB-IA-ALL NON-PEST-ALL,VER-IA-ALL NON-PEST-ALL,TBP-IA-ALL NON-PEST-ALL,COR-IA-ALL NON-PEST-ALL,AGR-IA-ALL NON-PEST-ALL,ARB-IA-ALL NON-PEST-ALL,BOR-IA-ALL NON-PEST-ALL,EEA-IA-ALL NON-PEST-ALL,OMY-IA-ALL NON-PEST-ALL,BIN-IA-ALL NON-PEST-ALL,ABM-IA-ALL NON-PEST-ALL,IBA-IA-ALL NON-PEST-ALL,PLL-IA-ALL NON-PEST-ALL","421,1018,1049,1358,1488,2011,2035,2039,2096,2650,3539,5598,6008,6768,7868,8113,8610,9216,10931,13267,13427",,,,,Mid Year
IA-Inspection fees - >25 lb pkg ONLY,IA,Iowa,Inspection fees - >25 lb pkg ONLY,,"Fertilizer,Amendment/Conditioner,Biological Inoculant,Surfactant/Wetting Agent",N/A,,,> 25 lbs,,Yes,Tonnage/Mill,Semi-Annual,,,,$0.1700,$/Ton Sold,$0.00,,April Good,,,,(515) 281-8597,FeedandFertilizer@Iowaagriculture.gov,IDALS,Online Portal,https://iowadeptag.my.site.com/s/login/?ec=302&startURL=/s/,,,,,,,,,,,,,,https://iowadeptag.my.site.com/s/login/?ec=302&startURL=/s/,Online Portal,https://iowadeptag.my.site.com/s/login/?ec=302&startURL=/s/,https://iowaagriculture.gov/commercial-feed-and-fertilizer-bureau,,,,Any fee less than $1 does not need to be paid,Feed and Fertilizer Bureau (IA Dept of Ag),Wallace Building,502 E 9th Street,Des Moines,IA,50319,Tonnage,"670,686,699,711,1390,2097,2485,5662,6665,6916,8837,10858,10861,13556",,"670,686,699,711,1390,2097,2485,5662,6665,6916,8837,10858,10861",,,,"01,07",
IA-Lime Company License,IA,Iowa,Lime Company License,,Liming Material,N/A,,,,No,No,License,Annual,12,$25.00,$25.00,,$/License,,,April Good,,,,(515) 281-8597,FeedandFertilizer@Iowaagriculture.gov,IDALS,Online Portal,https://iowadeptag.my.site.com/s/login/?ec=302&startURL=/s/,,,30,,,,,,,,Online Portal,,,https://iowadeptag.my.site.com/s/login/?ec=302&startURL=/s/,,https://iowadeptag.my.site.com/s/login/?ec=302&startURL=/s/,https://iowaagriculture.gov/commercial-feed-and-fertilizer-bureau,,,,,Feed and Fertilizer Bureau (IA Dept of Ag),Wallace Building,502 E 9th Street,Des Moines,IA,50319,,"9842,9843",,"9842,9843",,,,,End of Year
IA-Lime Product,IA,Iowa,Lime Product,,Liming Material,N/A,,,,No,,Registration,Annual,06,$0.00,$0.00,,,,,,,,,,,,,https://iowadeptag.my.site.com/s/login/?ec=302&startURL=/s/,,,30,,,,,,,,Online Portal,,,https://iowadeptag.my.site.com/s/login/?ec=302&startURL=/s/,,https://iowadeptag.my.site.com/s/login/?ec=302&startURL=/s/,https://iowaagriculture.gov/commercial-feed-and-fertilizer-bureau,,,,,Feed and Fertilizer Bureau (IA Dept of Ag),Wallace Building,502 E 9th Street,Des Moines,IA,50319,,"9418,9419,9420,9421,9422,9423,9424,9425,9426",,"9418,9419,9420,9421,9422,9423,9424,9425,9426",,,,,Mid Year
